;?????: 0;????? : 1
00:00:00,061,600;0,3882;2,6392
00:00:00,061,700;0,3687;2,6978
00:00:00,061,800;0,3882;2,7686
00:00:00,061,900;0,3979;2,8467
00:00:00,062,000;0,4175;2,8784
00:00:00,062,100;0,4395;2,937
00:00:00,062,200;0,4297;2,9858
00:00:00,062,300;0,4395;3,0469
00:00:00,062,400;0,4688;3,1055
00:00:00,062,500;0,4395;3,1763
00:00:00,062,600;0,4688;3,2153
00:00:00,062,700;0,4492;3,2666
00:00:00,062,800;0,4785;3,3154
00:00:00,062,900;0,4883;3,3643
00:00:00,063,000;0,4785;3,4155
00:00:00,063,100;0,4785;3,4741
00:00:00,063,200;0,4785;3,5132
00:00:00,063,300;0,4688;3,5547
00:00:00,063,400;0,4883;3,6035
00:00:00,063,500;0,4883;3,6426
00:00:00,063,600;0,5078;3,6743
00:00:00,063,700;0,4883;3,7134
00:00:00,063,800;0,498;3,7427
00:00:00,063,900;0,4883;3,7524
00:00:00,064,000;0,498;3,7622
00:00:00,064,100;0,498;3,7842
00:00:00,064,200;0,498;3,7939
00:00:00,064,300;0,4883;3,7842
00:00:00,064,400;0,5078;3,7622
00:00:00,064,500;0,4785;3,7524
00:00:00,064,600;0,4688;3,7134
00:00:00,064,700;0,4785;3,6426
00:00:00,064,800;0,498;3,5449
00:00:00,064,900;0,4785;3,4839
00:00:00,065,000;0,4883;3,4253
00:00:00,065,100;0,4883;3,3447
00:00:00,065,200;0,4785;3,2544
00:00:00,065,300;0,4785;3,186
00:00:00,065,400;0,4492;3,0859
00:00:00,065,500;0,459;2,9761
00:00:00,065,600;0,4492;2,9077
00:00:00,065,700;0,4395;2,7881
00:00:00,065,800;0,459;2,7173
00:00:00,065,900;0,4297;2,6074
00:00:00,066,000;0,4297;2,5293
00:00:00,066,100;0,4175;2,4292
00:00:00,066,200;0,4077;2,3389
00:00:00,066,300;0,3882;2,2314
00:00:00,066,400;0,4077;2,1313
00:00:00,066,500;0,3784;2,0215
00:00:00,066,600;0,4175;1,9116
00:00:00,066,700;0,3882;1,8018
00:00:00,066,800;0,3882;1,6821
00:00:00,066,900;0,3687;1,5723
00:00:00,067,000;0,3882;1,4526
